Irrigation Pumping File for SWAT-MODFLOW
Irrigation Pumping File for SWAT-MODFLOW
0
Sub	Row	Column	Lay	HRU_ID
60	35	96	1	52
60	35	96	1	46
122	64	20	1	468
122	64	20	1	464
113	77	45	1	713
113	77	45	1	712
48	69	105	1	646
48	69	105	1	640
17	119	71	1	1295
17	119	71	1	1293
59	92	112	1	1032
59	92	112	1	1026
116	74	108	1	526
116	74	108	1	520
89	102	82	1	1254
89	102	82	1	1249
53	85	28	1	751
53	85	28	1	750
112	79	15	1	817
112	79	15	1	816
122	72	17	1	468
122	72	17	1	464
108	81	119	1	673
108	81	119	1	667
55	38	93	1	94
55	38	93	1	90
14	114	71	1	1228
14	114	71	1	1226
90	110	97	1	1311
90	110	97	1	1308
53	84	30	1	751
53	84	30	1	750
37	86	101	1	897
37	86	101	1	896
53	80	45	1	751
53	80	45	1	750
127	60	61	1	240
127	60	61	1	235
3	174	33	1	1893
3	174	33	1	1892
4	164	37	1	1841
4	164	37	1	1838
92	97	33	1	1200
92	97	33	1	1199
4	161	44	1	1841
4	161	44	1	1838
33	156	44	1	1819
33	156	44	1	1813
9	146	58	1	1661
9	146	58	1	1660
2	179	26	1	1937
2	179	26	1	1936
79	128	68	1	1607
79	128	68	1	1606
83	133	60	1	1479
83	133	60	1	1475
9	144	60	1	1661
9	144	60	1	1660
88	105	23	1	1265
88	105	23	1	1264
92	105	40	1	1200
92	105	40	1	1199
2	176	30	1	1937
2	176	30	1	1936
10	132	65	1	1535
10	132	65	1	1534
9	141	60	1	1661
9	141	60	1	1660
1	194	18	1	1983
1	194	18	1	1982
85	125	34	1	1354
85	125	34	1	1352
84	123	27	1	1411
84	123	27	1	1410
7	151	49	1	1761
7	151	49	1	1753
7	150	51	1	1761
7	150	51	1	1753
10	131	65	1	1535
10	131	65	1	1534
2	176	28	1	1937
2	176	28	1	1936
56	113	36	1	1382
56	113	36	1	1381
7	147	51	1	1761
7	147	51	1	1753
10	133	64	1	1535
10	133	64	1	1534
9	137	59	1	1661
9	137	59	1	1660
7	153	49	1	1761
7	153	49	1	1753
73	174	29	1	1697
73	174	29	1	1693
6	156	45	1	1830
6	156	45	1	1829
6	156	47	1	1830
6	156	47	1	1829
3	173	33	1	1893
3	173	33	1	1892
83	124	51	1	1479
83	124	51	1	1475
44	125	37	1	1446
44	125	37	1	1444
78	135	38	1	1624
78	135	38	1	1622
72	155	51	1	1800
72	155	51	1	1795
11	123	69	1	1518
11	123	69	1	1517
11	125	67	1	1518
11	125	67	1	1517
11	123	68	1	1518
11	123	68	1	1517
87	108	51	1	1336
87	108	51	1	1335
10	132	62	1	1535
10	132	62	1	1534
7	153	48	1	1761
7	153	48	1	1753
11	122	68	1	1518
11	122	68	1	1517
33	158	43	1	1819
33	158	43	1	1813
87	110	55	1	1336
87	110	55	1	1335
85	113	27	1	1354
85	113	27	1	1352
84	138	26	1	1411
84	138	26	1	1410
12	121	68	1	1511
12	121	68	1	1509
54	154	20	1	1725
54	154	20	1	1722
2	179	23	1	1937
2	179	23	1	1936
33	162	37	1	1819
33	162	37	1	1813
32	140	51	1	1656
32	140	51	1	1647
9	139	60	1	1661
9	139	60	1	1660
11	127	66	1	1518
11	127	66	1	1517
76	134	22	1	1597
76	134	22	1	1593
80	132	47	1	1552
80	132	47	1	1549
72	157	56	1	1800
72	157	56	1	1795
72	157	55	1	1800
72	157	55	1	1795
79	132	67	1	1607
79	132	67	1	1606
73	172	29	1	1697
73	172	29	1	1693
33	159	40	1	1819
33	159	40	1	1813
28	148	54	1	1708
28	148	54	1	1705
56	113	36	1	1382
56	113	36	1	1381
11	127	66	1	1518
11	127	66	1	1517
3	174	31	1	1893
3	174	31	1	1892
11	124	70	1	1518
11	124	70	1	1517
3	166	35	1	1893
3	166	35	1	1892
4	162	38	1	1841
4	162	38	1	1838
11	126	67	1	1518
11	126	67	1	1517
3	164	37	1	1893
3	164	37	1	1892
79	130	66	1	1607
79	130	66	1	1606
